label,c0,c1,c2,c3,c4,c5
378,菇,芟,茈,苾,蒞,蒞
379,徜,假,惘,烱,倘,煆
380,直,府,康,康,府,店
381,俱,倶,俱,倶,椇,榠
382,縹,幖,㟽,嫖,熛,螵
383,葢,盂,並,孟,彑,𥁕
384,弌,大,六,ゲ,伏,六
385,蕻,甄,鼽,躵,剱,劔
386,秞,帖,紬,柚,紬,枯
387,咺,皚,咀,咀,吧,吧
388,鎋,錬,辣,銉,隷,練
389,懿,醃,黮,簎,衊,衊
390,縫,纏,橇,纒,嬭,綸
391,﨡,趕,鮏,婭,酤,﨡
392,腩,腩,腩,牓,謗,腟
393,牘,躓,躓,讀,牘,續
394,噲,獪,檜,璫,憎,憎
395,愞,摽,愞,標,煙,慓
396,矩,粨,銗,鉅,鉅,姫
397,は,砅,砅,沘,ぼ,毦
398,浄,浄,涘,洋,泮,泮
399,犾,戕,妝,戕,吠,戕
400,畧,唇,峉,睿,客,峉
401,貳,芯,苡,苡,茂,芃
402,愨,憗,憼,懃,愍,愨
403,珉,唄,氓,岷,珉,眠
404,瑣,幀,禎,瑣,項,頊
405,欽,欽,飮,飭,鉃,鉉
406,𡈁,閑,間,閔,閖,閙
407,婥,媜,姨,婥,妖,碵
408,猒,勛,劭,勈,勛,觔
409,嚩,玁,鼎,鼎,囀,囀
410,逵,途,途,逮,達,遧
411,蟒,烤,緖,緒,拷,帾
412,係,傺,保,傺,倮,係
413,漫,漊,漫,磎,磎,磎
414,崝,峭,﨑,精,﨑,精
415,合,劵,夽,会,夽,叴
416,碊,踐,綫,錢,﨎,綫
417,圃,圕,圏,圓,闖,闇
418,朿,聿,車,窣,聿,卓
419,愽,博,愽,搏,檫,擤
420,蹠,蹠,硫,疏,琉,筑
421,耘,釧,衵,鈬,細,鉙
422,扉,樏,樿,檡,襌,愫
423,鴆,鴉,鴋,鴘,鴞,鴟
424,比,𠮟,矻,尓,沁,矻
425,沜,労,力,沜,泔,泭
426,空,空,垚,屯,宝,査
427,鏻,鱗,彝,鎖,鱗,驎
428,鰙,餝,錢,餝,鰙,踐
429,戓,戊,弍,弍,沭,戍
430,籐,貘,膜,膜,腹,簏
431,鼇,鼈,鼈,麅,麅,氅
432,峠,峠,揷,桛,挊,鈴
433,癬,癬,癖,擗,瀞,瀞
434,蠧,驘,贏,霹,霹,贏
435,穇,糝,槮,穇,惨,塒
436,莝,塞,罣,荃,堅,罣
437,酎,坍,酎,坿,酎,柎
438,崕,呪,呪,睚,𥆩,晩
439,鐓,鐓,瀲,燉,媺,瀲
440,虔,度,夌,羑,鹿,庭
441,彅,亮,壳,彅,壼,鳬
442,頗,顏,顔,纇,顔,頗
443,貛,鱅,觽,醨,醨,鋆
444,嵯,瑳,陁,螳,鏜,鏜
445,皷,鼓,皺,麬,皶,麬
446,藶,藶,蔑,蘐,葼,蔑
447,復,壞,懷,榎,榎,愎
448,穹,嶴,嶴,宰,宰,窰
449,痧,癥,瘉,癁,瘙,癁
450,憫,澖,僩,墹,僩,僴
451,鎰,韞,醞,鰮,艋,韞
452,驒,蟬,輝,懌,擇,檡
453,梫,梭,接,梭,椄,焌
454,諞,譚,踴,贉,踴,譯
455,荕,莇,莔,茵,茴,荕
456,倩,蒗,渭,情,凊,瑇
457,疋,午,田,干,干,岊
458,飽,飽,鉋,鮑,駞,蚫
459,裝,善,裝,善,裝,装
460,秣,抹,株,秣,株,珠
461,琨,現,嫄,螈,焜,晛
