label,c0,c1,c2,c3,c4,c5
478,曈,瞠,瞳,噇,曈,瞳
479,否,芳,若,苫,苗,苦
480,圓,圖,圈,圏,圓,圖
481,痔,痔,帯,帶,帯,拵
482,毟,氂,氅,耄,髦,尾
483,団,固,固,囲,固,西
484,郿,鄙,鄢,鄙,鄢,郿
485,哱,嚀,哮,哱,哱,嚀
486,阮,阮,沄,玩,既,玩
487,襅,擇,懌,磹,襅,樿
488,揖,揖,摂,楫,梹,緝
489,喃,晡,吨,晡,吨,哺
490,ス,ズ,ヹ,ズ,ゾ,ダ
491,錚,胛,脖,脬,評,胖
492,削,剖,剬,刳,制,剖
493,a,e,g,n,r,s
494,諜,牒,諜,牒,諜,榺
495,昈,䡎,沪,舮,鈩,馿
496,弯,育,弯,育,筩,肙
497,喰,隘,隘,陰,啽,隂
498,樞,樞,𣜜,椏,榧,榧
499,単,準,隼,凖,単,準
500,㹠,猹,猟,猱,猱,猿
501,髐,鵺,鶻,鶺,鶻,鶺
502,鷯,鷄,鷦,鷄,鷁,鸇
503,螧,蟶,蟾,蝗,螧,螳
504,釚,釻,釻,軌,釻,軌
505,苡,菝,孩,茲,茲,孜
506,錫,絹,焆,蜎,輻,鋗
507,鸝,鸝,鸙,鸙,鶸,鸝
508,概,慨,慨,概,慨,慨
509,蛑,蜉,蚌,蚱,蛑,蚌
510,粧,駐,賍,註,鮏,粧
511,佛,怫,悌,梯,涕,俤
512,威,戚,威,戚,蔵,蔵
513,髭,菎,蓖,蓖,茈,罠
514,淚,涙,譲,議,譲,腰
515,剡,剣,刻,剡,剣,剡
516,誷,謜,跼,𨂊,賙,調
517,如,如,如,知,州,夘
518,苾,惹,蔥,蔥,蕙,蕙
519,彦,彦,寥,爹,翏,蓼
520,禿,珡,禿,禿,秂,秂
521,𥇍,皞,皡,暭,皡,暭
522,遺,遣,遺,遣,透,遺
523,桧,松,桧,桧,絵,穏
524,軼,鉃,帙,蚑,蚨,蚑
525,齭,嘶,斸,斸,晣,晣
526,男,髣,旉,男,隽,昱
527,胻,酎,耐,酎,胕,跗
528,汢,江,沚,址,汁,汕
529,仇,汍,氿,汍,仇,汰
530,冣,冣,㝡,扱,扳,扳
531,悦,悦,挽,悅,悗,悦
532,展,屟,屡,屣,戻,戾
533,汝,汝,炆,泬,渋,渋
534,獗,獗,獅,輀,蹶,錣
535,襭,𣠽,欟,嬾,嬾,襯
536,䗥,螇,螋,螻,蠖,蜈
537,穝,楣,撮,樶,𣘸,椴
538,舘,錧,兢,餽,魏,餽
539,秋,杖,秋,秩,杁,𣏤
540,哄,晎,哄,拱,洪,垬
541,魴,舫,鈁,舫,鈁,魴
542,ヰ,ヸ,ヰ,冲,丬,4
543,込,迅,沮,辺,近,返
544,俶,僌,俶,僌,椒,俄
545,疎,竦,鰊,餗,棘,誄
546,萄,葡,蔔,葡,蔔,匍
547,娠,姍,嫋,嬬,媚,媧
548,舂,舂,养,春,春,臖
549,鉏,駔,杞,紐,紀,紀
550,鮹,誚,鮹,銷,肭,魶
551,戎,戎,弍,弎,式,弐
552,ぶ,ぷ,ふ,ぶ,ぷ,ふ
553,刂,丩,斗,斗,斗,𠥼
554,矍,斃,寶,麑,籰,簣
555,鑰,鮠,詭,詭,蹌,鮠
556,溟,濞,濆,漢,漬,潰
557,孱,魔,魔,賡,膺,厲
558,衽,好,奸,姃,姙,好
559,勺,匁,勹,勺,匁,勹
560,祊,紡,訪,妨,紡,訪
561,臂,冐,胄,甯,臂,苛
562,覲,覩,覲,覯,覿,觀
563,鬚,䈎,葈,冥,簗,䒳
564,呢,呃,呃,呢,昵,阨
565,使,俠,侠,俠,快,怏
566,雀,曾,會,酋,雀,曾
567,鈹,皷,跛,鼓,敲,敺
568,老,老,疋,辵,足,辵
569,伊,倹,伊,倹,侯,俣
570,脉,冰,泳,冰,泳,詠
571,宝,笘,笘,宏,宝,宙
572,頃,頑,頂,須,頊,煩
573,叮,吁,吁,竚,吁,盱
574,對,鮒,尉,鮒,尉,鮒
575,去,夭,矢,天,夭,矢
576,抹,柹,株,秣,秭,袪
577,濯,湮,湮,潼,湟,瀀
578,醪,鏐,髎,謬,醪,鏐
579,偲,億,値,値,僡,俦
580,謄,謄,讀,臚,臚,臚
581,入,厶,幺,入,幺,么
582,坅,埓,埒,埓,垨,埒
583,鐲,焉,焉,脹,謂,謁
584,呉,呉,具,兵,兵,臭
585,崙,旹,耑,旹,耑,豈
586,翕,翕,霧,翥,霑,霞
587,盡,畳,皨,蠱,疉,疊
588,苞,荀,笱,苟,笱,苟
589,欏,欖,攬,欐,椻,櫃
590,愍,恙,惑,慈,慇,恷
591,料,枓,科,糾,料,斜
592,鈖,粉,鈖,紛,枌,衯
593,ひ,ぴ,び,ぴ,び,ぴ
594,騷,艏,貘,貛,騮,雁
595,儈,惛,憎,僧,憎,僧
596,丶,爫,屮,屮,屮,ゆ
597,杪,沙,炒,砂,秒,妙
598,稷,楼,榎,槾,橒,稷
599,級,廒,厰,厭,巌,巖
600,釶,訑,釶,訑,釶,弛
601,ㇶ,ㇺ,ㇽ,E,ゕ,ォ
602,睥,脾,牌,睥,脾,髀
603,需,霈,嚮,簡,簡,籥
604,蘧,蓪,蓪,蒾,藡,遐
605,蔚,莿,薊,葥,薊,荊
606,六,六,穴,大,太,犬
607,腎,膂,甯,背,胥,脣
608,亂,齓,亂,軋,齔,齔
609,心,必,の,め,心,必
610,嶰,巗,嚬,嚬,畷,囎
611,朒,脯,脳,腩,朒,脯
612,嶄,製,簑,褰,宸,蓑
613,頓,類,𩒐,額,頫,頬
614,餱,鋠,賑,綟,錕,鯸
615,毛,宅,毛,モ,屯,乇
616,菲,弗,弗,菲,卯,茆
617,萆,陣,陣,埠,璋,璋
618,沾,泊,伷,沽,沾,伷
619,㝵,兮,今,今,寽,夸
620,黷,贖,饋,蹟,賾,鏆
621,艀,静,舒,魣,舒,魣
622,莢,炗,奘,美,奘,芺
623,鮮,酢,鮮,祥,群,祥
624,赶,飪,証,飪,飪,紝
625,鑷,韛,鞴,韛,鴿,鵄
626,聱,聲,聳,聻,聟,聱
627,犧,犧,穫,糫,犠,犧
628,秔,坑,忼,抗,沆,炕
629,愡,偬,惚,愡,揔,楤
630,竰,嫄,娓,媼,媽,嫗
631,力,屶,労,力,屶,カ
632,剪,茰,茰,奥,奧,茣
633,麹,囹,囨,困,国,囶
634,槲,㭭,瓠,瓠,捌,伽
635,踔,肄,踔,碁,舞,䨩
636,儲,備,備,儲,潴,赭
637,葶,箏,箏,爭,亊,爭
638,咤,吒,咤,吒,咤,咾
639,抉,挟,挾,抉,挟,茯
640,馼,駛,駛,駭,騱,騱
641,樟,樺,嫜,捧,葏,葎
642,秈,秞,秈,秞,拈,柚
643,你,忤,仵,忤,仵,你
644,晞,崎,﨑,﨑,崹,﨑
645,櫨,據,攄,攄,據,櫨
646,嘻,嘻,暿,暱,曜,曙
647,妥,愛,愛,爰,哭,娑
648,佷,恨,仮,伋,仮,伋
649,芥,岑,笒,岑,芩,芩
650,睠,踡,睠,綣,棬,椦
651,落,洿,洿,芼,亳,芎
652,箝,箝,簎,矠,㺃,狢
653,粔,粗,租,粗,租,秬
654,朋,器,器,器,器,羽
655,䯒,斬,新,訢,所,斬
656,禖,繰,祿,綠,緑,緣
657,儀,傓,僞,儗,儞,儷
658,尚,㡀,南,甬,南,甫
659,朦,膝,膝,艨,瓈,朦
660,餛,𨦺,餛,鰛,錕,颻
661,ざ,が,ぎ,ざ,ぎ,ざ
662,年,羊,年,羊,皁,牟
663,閂,鬥,門,閂,鬥,門
664,擂,橎,摺,播,擂,橎
665,嶴,嶴,䍃,召,咨,密
666,歘,欹,款,歃,歆,歇
667,躁,鑚,蹂,鎭,鑚,讚
668,ど,と,ご,こ,と,ど
669,喀,瞎,喀,晤,嗒,𥉌
670,施,施,旒,旃,旆,旒
671,臽,呂,自,㠯,自,舌
672,吋,竹,付,竹,竹,忖
673,視,覬,覬,観,靚,艱
674,涪,煊,瑄,愃,渲,煊
675,壬,正,玉,玊,王,圣
676,伸,忡,仲,忡,仲,忡
677,潸,湣,濳,潜,澘,濳
678,庿,産,庿,産,産,座
679,陘,陸,睦,陸,咥,睦
680,椈,椈,掬,梅,梅,袽
681,分,廾,分,廾,开,开
682,胞,蚫,跑,鉋,飽,鮑
683,礐,砦,礐,砦,礐,𥓙
684,錨,踖,踏,錯,耤,錯
685,帑,帘,帚,帟,帮,幇
686,闘,閔,閹,閻,闇,誾
687,熙,煕,煕,熈,凞,煦
